"{'Timestamp': '23-05-2022:12:50:09:070343', 'Gyro1': '90.22', 'Vx1': '0.002', 'Vy1': '0.012', 'Vz1': '0.0', 'Vm1': '0.012', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.012', 'Vz2': '0.0', 'Vm2': '0.012', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:079533', 'Gyro1': '90.22', 'Vx1': '0.002', 'Vy1': '0.012', 'Vz1': '0.0', 'Vm1': '0.012', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.012', 'Vz2': '0.0', 'Vm2': '0.012', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:089158', 'Gyro1': '90.22', 'Vx1': '0.002', 'Vy1': '0.012', 'Vz1': '0.0', 'Vm1': '0.012', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.012', 'Vz2': '0.0', 'Vm2': '0.012', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:100647', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.012', 'Vz1': '0.0', 'Vm1': '0.012', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.012', 'Vz2': '0.0', 'Vm2': '0.012', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '-0.002', 'TheoA': '-0.182'}"
"{'Timestamp': '23-05-2022:12:50:09:112107', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.012', 'Vz1': '0.0', 'Vm1': '0.012', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.012', 'Vz2': '0.0', 'Vm2': '0.012', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.222'}"
"{'Timestamp': '23-05-2022:12:50:09:121209', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.013', 'Vz1': '0.0', 'Vm1': '0.013', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.013', 'Vz2': '0.0', 'Vm2': '0.013', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:132972', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.013', 'Vz1': '0.0', 'Vm1': '0.013', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.013', 'Vz2': '0.0', 'Vm2': '0.013', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:141197', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.013', 'Vz1': '0.0', 'Vm1': '0.013', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.013', 'Vz2': '0.0', 'Vm2': '0.013', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:151775', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.013', 'Vz1': '0.0', 'Vm1': '0.013', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.013', 'Vz2': '0.0', 'Vm2': '0.013', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:159700', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.013', 'Vz1': '0.0', 'Vm1': '0.013', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.013', 'Vz2': '0.0', 'Vm2': '0.013', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:170099', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.014', 'Vz1': '0.0', 'Vm1': '0.014', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.014', 'Vz2': '0.0', 'Vm2': '0.014', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
